location,latitude,longitude,urbanization_index,industry_density,avg_pm25,source,risk_score
New York Bight,39.9537,-74.1979,0.2,0.1,0.002,Marine,0.12
Gulf of Mexico,27.5737,-82.6868,0.2,0.1,0.0,Marine,0.12
Gulf of Mexico,27.729,-82.4987,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,16.8,-83.62,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,18.0327,-63.0973,0.2,0.1,0.002,Marine,0.12
Caribbean Sea,15.8674,-61.5895,0.2,0.1,0.001,Marine,0.12
North Sea,57.619,-1.736833,0.2,0.1,0.01663,Marine,0.12
Inner Seas off the West Coast of Scotland,55.306,-5.222667,0.2,0.1,0.341669,Marine,0.12
Mediterranean Sea,41.263153,1.963507,0.2,0.1,1.834667,Marine,0.1201
Mediterranean Sea,44.129778,9.608947,0.2,0.1,0.249643,Marine,0.12
Caribbean Sea,20.63028,-87.065838,0.2,0.1,2820.874471,Marine,0.2006
Gulf of Mexico,27.2,-82.8,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,18.06,-64.54,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,17.93,-62.87,0.2,0.1,0.0,Marine,0.12
